                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.66366,                0.36265,                0.96486,                0.97654,                0.96448,                0.99165,                0.78976,                0.81085,                0.34267,                0.96915,             0.00042087,             0.00042087,             0.00042087
                     70,                0.64901,                 0.3628,                 0.9516,                0.95746,                0.98375,                0.99281,                0.78186,                0.79779,                0.34049,                0.97092,              0.0004085,              0.0004085,              0.0004085
                     71,                0.63909,                0.36045,                0.95537,                 0.9868,                0.96641,                 0.9931,                0.79102,                0.79144,                0.33965,                0.96052,             0.00039613,             0.00039613,             0.00039613
                     72,                0.64393,                0.35546,                0.95151,                0.98624,                 0.9661,                0.99304,                0.76475,                 0.8074,                0.34367,                0.96982,             0.00038375,             0.00038375,             0.00038375
                     73,                0.62812,                 0.3516,                0.95117,                0.95643,                0.99097,                0.99246,                0.77869,                0.79474,                0.33643,                0.96188,             0.00037138,             0.00037138,             0.00037138
                     74,                 0.6402,                0.35814,                0.95793,                 0.9769,                0.98901,                0.99385,                0.79562,                0.79025,                 0.3398,                0.96489,               0.000359,               0.000359,               0.000359
                     75,                0.62584,                0.34349,                 0.9492,                0.95923,                0.99083,                0.99225,                0.78964,                 0.7886,                0.33053,                0.95945,             0.00034663,             0.00034663,             0.00034663
                     76,                0.60912,                0.33665,                0.94025,                0.98354,                0.98701,                0.99424,                0.79208,                0.79279,                0.32397,                0.96212,             0.00033425,             0.00033425,             0.00033425
                     77,                 0.6197,                0.33499,                0.95012,                0.97761,                0.99063,                0.99437,                0.78379,                 0.7995,                0.32886,                0.96948,             0.00032188,             0.00032188,             0.00032188
                     78,                0.60297,                0.33502,                0.94185,                0.97641,                0.99055,                0.99442,                0.79165,                0.79004,                0.32963,                0.96588,              0.0003095,              0.0003095,              0.0003095
                     79,                0.60469,                0.33885,                0.94624,                0.98514,                0.98448,                0.99453,                0.78369,                0.79268,                0.32446,                0.96401,             0.00029713,             0.00029713,             0.00029713
                     80,                0.60286,                0.33534,                0.94323,                0.98322,                0.98795,                0.99446,                0.79438,                0.78348,                0.32255,                0.95573,             0.00028475,             0.00028475,             0.00028475
                     81,                0.59565,                0.33203,                0.93922,                 0.9895,                0.96579,                0.98187,                 0.7841,                0.79135,                0.32286,                0.96607,             0.00027237,             0.00027237,             0.00027237
